UUID,Designator,Qty,Self Sourced,Value,Device,Package,Parts,Description
R-2019-44,C,1,,0.01uF,C-EUC0805,C0805,C20,"CAPACITOR, European symbol"
R-2019-01,C,14,,0.1uF,C-EUC0805,C0805,"C1, C5, C6, C11, C14, C21, C28, C29, C31, C32, C33, C34, C35, C40","CAPACITOR, European symbol"
R-2019-06,R,1,,1,R-EU_R0805,R0805,R1,"RESISTOR, European symbol"
R-2019-36,R,7,,10k,R-EU_R0805,R0805,"R8, R9, R14, R15, R24, R32, R44","RESISTOR, European symbol"
R-2019-21,C,5,,10uF,C-EUC0805,C0805,"C2, C3, C15, C16, C24","CAPACITOR, European symbol"
R-2019-08,XTAL,1,,16MHz,CRYSTALHC49UP,HC49UP,Q3,CRYSTAL
R-2020-02,R,1,,1M,R-EU_R0805,R0805,R10,"RESISTOR, European symbol"
R-2019-05,R,8,,1k,R-EU_R0805,R0805,"R28, R29, R37, R38, R39, R41, R42, R43","RESISTOR, European symbol"
R-2019-51,R,2,,1k3,R-EU_R0805,R0805,"R6, R7","RESISTOR, European symbol"
R-2020-01,C,1,,1uF,C-EUC0805,C0805,C17,"CAPACITOR, European symbol"
R-2020-01,C,2,,2.2uF,C-EUC0805,C0805,"C18, C19","CAPACITOR, European symbol"
R-2019-43,C,2,,22pF,C-EUC0805,C0805,"C36, C37","CAPACITOR, European symbol"
R-2019-02,R,1,,330,R-EU_R0805,R0805,R40,"RESISTOR, European symbol"
L-2020-23,L,1,,4.7uH,L-USL0805,C0805,L1,"INDUCTOR, American symbol"
R-2020-06,R,1,,68k,R-EU_R0805,R0805,R11,"RESISTOR, European symbol"
L-2020-33,U,1,,AD9833,AD9833,MSOP10,IC1,LowPower Waveform Generator
L-2020-40,U,2,,LM318D,LM318D,SOIC8,"IC4, IC5",FAST GENERAL-PURPOSE OPERATIONAL AMPLIFIER
R-2019-61,D,3,,MBR0520LT,MBR0520LT,SMC,"D4, D5, D6",SCHOTTKY BARRIER RECTIFIER
L-2020-48,U,1,,ATMEGA328PB,ATMEGA328PB,MICROCHIP_ATMEGA328PB-AU_0,U2,ATmega328PB Summary Datasheet
L-2020-58,U,1,,TLV1117-33IDCY,TLV1117-33IDCY,SOT230P700X180-4N,U1,3.3v regulator
L-2020-50,U,1,,TLV61048DBVR,TLV61048DBVR,SOT95P280X145-6N,U3,Boost Converter
