C1, 36.49, 42.92, 180.00, 0.1uF, C0805
C11, 40.13, 30.48, 270.00, 0.1uF, C0805
C14, 26.42, 20.83, 270.00, 0.1uF, C0805
C15, 40.13, 36.07, 90.00, 10uF, C0805
C16, 18.80, 31.50, 180.00, 10uF, C0805
C17, 13.97, 31.75, 0.00, 1uF, C0805
C18, 19.56, 36.32, 0.00, 2.2uF, C0805
C19, 25.91, 29.72, 90.00, 2.2uF, C0805
C2, 8.64, 45.21, 90.00, 10uF, C0805
C20, 37.85, 31.50, 90.00, 0.01uF, C0805
C21, 35.56, 25.91, 270.00, 0.1uF, C0805
C24, 6.35, 45.72, 90.00, 10uF, C0805
C28, 52.83, 25.40, 90.00, 0.1uF, C0805
C29, 43.43, 19.30, 90.00, 0.1uF, C0805
C3, 10.92, 40.89, 90.00, 10uF, C0805
C31, 24.13, 6.35, 180.00, 0.1uF, C0805
C32, 17.78, 7.62, 90.00, 0.1uF, C0805
C33, 24.89, 14.99, 90.00, 0.1uF, C0805
C34, 15.24, 7.62, 270.00, 0.1uF, C0805
C35, 10.67, 16.51, 90.00, 0.1uF, C0805
C36, 3.81, 10.16, 0.00, 22pF, C0805
C37, 3.81, 27.94, 180.00, 22pF, C0805
C40, 14.99, 23.62, 90.00, 0.1uF, C0805
C5, 30.99, 33.02, 90.00, 0.1uF, C0805
C6, 42.42, 36.07, 90.00, 0.1uF, C0805
D4, 28.19, 32.77, 90.00, MBR0520LT, SOD123
D5, 17.91, 33.91, 180.00, MBR0520LT, SOD123
D6, 23.62, 32.77, 270.00, MBR0520LT, SOD123
IC1, 35.81, 34.80, 90.00, AD9833, MSOP10
IC4, 30.99, 22.86, 90.00, LM318D, SOIC8
IC5, 48.01, 22.86, 270.00, LM318D, SOIC8
L1, 9.65, 35.81, 180.00, 4.7uH, C0805
Q2, 36.83, 39.37, 270.00, ASFL1, ASF
Q3, 5.08, 19.05, 90.00, 16MHz, HC49UP
R1, 15.24, 36.32, 0.00, 1, R0805
R10, 13.46, 28.45, 0.00, 1M, R0805
R11, 10.16, 27.94, 90.00, 68k, R0805
R14, 42.42, 22.35, 180.00, 10k, R0805
R15, 40.89, 25.91, 270.00, 10k, R0805
R24, 12.70, 7.62, 270.00, 10k, R0805
R28, 29.21, 9.65, 180.00, 1k, R0805
R29, 40.89, 9.40, 90.00, 1k, R0805
R32, 20.32, 7.62, 270.00, 10k, R0805
R37, 39.62, 13.21, 180.00, 1k, R0805
R38, 38.35, 9.40, 90.00, 1k, R0805
R39, 24.13, 8.89, 180.00, 1k, R0805
R40, 37.59, 4.57, 90.00, 330, R0805
R41, 43.43, 9.40, 90.00, 1k, R0805
R42, 29.21, 14.73, 180.00, 1k, R0805
R43, 29.21, 12.19, 180.00, 1k, R0805
R44, 17.27, 23.62, 90.00, 10k, R0805
R6, 37.85, 25.91, 270.00, 1k3, R0805
R7, 36.07, 20.32, 90.00, 1k3, R0805
R8, 46.48, 26.67, 0.00, 10k, R0805
R9, 43.18, 25.91, 270.00, 10k, R0805
U$1, 53.09, 48.26, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$3, 2.29, 2.03, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$4, 53.09, 2.03, 0.00, FIDUCIAL, FIDUCIAL_1MM
U1, 5.33, 39.88, 180.00, TLV1117-33IDCY, SOT230P700X180-4N
U2, 17.53, 16.26, 0.00, MICROCHIP_ATMEGA328PB-AUMICROCHIP_ATMEGA328PB-AU_0_0, MICROCHIP_ATMEGA328PB-AU_0
U3, 9.65, 32.00, 0.00, TLV61048DBVR, SOT95P280X145-6N
